trans_id,account_id,date,type,operation_type,amount,balance,description,partner_bank,partner_account,district_id,frequency,account_open_date,client_id,district_name,region,population,average_salary,unemployment_rate,num_committed_crimes,account_open_year
497212,1695,1993-01-08,CREDIT,CREDIT IN CASH,11832.0,12032.0,UNKNOWN,UNKNOWN,-999.0,76,MONTHLY STATEMENTS,1993-01-03,2058,Sumperk,North Moravia,127369.0,8369.0,3.8185405756505775,2807.0,1993
621760,2122,1993-01-08,CREDIT,CREDIT IN CASH,300.0,300.0,UNKNOWN,UNKNOWN,-999.0,68,MONTHLY STATEMENTS,1993-01-08,2566,Frydek - Mistek,North Moravia,228848.0,9893.0,4.72,12703.935555370572,1993
480214,1637,1993-01-08,CREDIT,CREDIT IN CASH,500.0,500.0,UNKNOWN,UNKNOWN,-999.0,1,MONTHLY STATEMENTS,1993-01-08,1984,Hl.M. Praha,Prague,1204953.0,12541.0,0.43,99107.0,1993
612392,2087,1993-01-08,CREDIT,CREDIT IN CASH,600.0,600.0,UNKNOWN,UNKNOWN,-999.0,7,WEEKLY STATEMENTS,1993-01-08,2530,Melnik,Central Bohemia,94725.0,8836.006723256412,2.87,4846.0,1993
224342,764,1993-01-08,CREDIT,CREDIT IN CASH,1100.0,1100.0,UNKNOWN,UNKNOWN,-999.0,1,MONTHLY STATEMENTS,1993-01-08,914,Hl.M. Praha,Prague,1204953.0,12541.0,0.43,99107.0,1993
1049881,3592,1993-01-08,CREDIT,CREDIT IN CASH,600.0,600.0,UNKNOWN,UNKNOWN,-999.0,54,MONTHLY STATEMENTS,1993-01-08,4335,Brno - Mesto,South Moravia,387570.0,9945.41831147667,1.96,18696.0,1993
1132662,3871,1993-01-08,CREDIT,CREDIT IN CASH,300.0,300.0,UNKNOWN,UNKNOWN,-999.0,26,MONTHLY STATEMENTS,1993-01-08,4665,Plzen - Mesto,West Bohemia,170449.0,10787.0,4.8853923824070264,6261.0,1993
1021120,3487,1993-01-08,CREDIT,CREDIT IN CASH,800.0,800.0,UNKNOWN,UNKNOWN,-999.0,41,MONTHLY STATEMENTS,1993-01-08,4215,Usti Nad Labem,North Bohemia,118650.0,9832.0,4.48,3782.711105731648,1993
439035,1493,1993-01-09,CREDIT,CREDIT IN CASH,200.0,200.0,UNKNOWN,UNKNOWN,-999.0,41,MONTHLY STATEMENTS,1993-01-09,1810,Usti Nad Labem,North Bohemia,118650.0,9832.0,4.48,3782.711105731648,1993
110534,374,1993-01-09,CREDIT,CREDIT IN CASH,400.0,400.0,UNKNOWN,UNKNOWN,-999.0,38,MONTHLY STATEMENTS,1993-01-09,454,Louny,North Bohemia,85852.0,8965.0,3.795808705850958,2822.0,1993
771036,2632,1993-01-09,CREDIT,CREDIT IN CASH,14264.0,15364.0,UNKNOWN,UNKNOWN,-999.0,24,MONTHLY STATEMENTS,1993-01-02,3177,Karlovy Vary,West Bohemia,122603.0,8991.0,2.01,5273.0,1993
506450,1730,1993-01-09,CREDIT,CREDIT IN CASH,900.0,900.0,UNKNOWN,UNKNOWN,-999.0,1,MONTHLY STATEMENTS,1993-01-09,2099,Hl.M. Praha,Prague,1204953.0,12541.0,0.43,99107.0,1993
192097,652,1993-01-09,CREDIT,CREDIT IN CASH,13851.0,14551.0,UNKNOWN,UNKNOWN,-999.0,21,MONTHLY STATEMENTS,1993-01-05,782,Tabor,South Bohemia,103347.0,9104.0,2.07,2354.0,1993
1117248,3818,1993-01-09,CREDIT,CREDIT IN CASH,17366.0,17966.0,UNKNOWN,UNKNOWN,-999.0,74,MONTHLY STATEMENTS,1993-01-01,4601,Ostrava - Mesto,North Moravia,323870.0,10673.0,5.44,18347.0,1993
695720,2379,1993-01-10,CREDIT,CREDIT IN CASH,800.0,800.0,UNKNOWN,UNKNOWN,-999.0,44,MONTHLY STATEMENTS,1993-01-10,2874,Chrudim,East Bohemia,105606.0,8254.0,3.76,2325.0,1993
857973,2925,1993-01-10,CREDIT,CREDIT IN CASH,1000.0,1000.0,UNKNOWN,UNKNOWN,-999.0,1,MONTHLY STATEMENTS,1993-01-10,3533,Hl.M. Praha,Prague,1204953.0,12541.0,0.43,99107.0,1993
477638,1628,1993-01-10,CREDIT,CREDIT IN CASH,700.0,700.0,UNKNOWN,UNKNOWN,-999.0,60,MONTHLY STATEMENTS,1993-01-10,1973,Prostejov,South Moravia,110643.0,8441.0,4.48,2252.0,1993
1049882,3592,1993-01-10,CREDIT,COLLECTION FROM ANOTHER BANK,6007.0,6607.0,PENSION,MN,73166322.0,54,MONTHLY STATEMENTS,1993-01-08,4335,Brno - Mesto,South Moravia,387570.0,9945.41831147667,1.96,18696.0,1993
252644,866,1993-01-10,CREDIT,CREDIT IN CASH,500.0,500.0,UNKNOWN,UNKNOWN,-999.0,9,MONTHLY STATEMENTS,1993-01-10,1044,Nymburk,Central Bohemia,81344.0,8899.0,3.97,2487.0,1993
393505,1338,1993-01-11,CREDIT,CREDIT IN CASH,400.0,400.0,UNKNOWN,UNKNOWN,-999.0,74,MONTHLY STATEMENTS,1993-01-11,1619,Ostrava - Mesto,North Moravia,323870.0,10673.0,5.44,18347.0,1993
171813,576,1993-01-11,CREDIT,COLLECTION FROM ANOTHER BANK,6207.0,7107.0,PENSION,YZ,30300313.0,55,MONTHLY STATEMENTS,1993-01-01,692,Brno - Venkov,South Moravia,157042.0,9072.274638280678,2.43,3894.0,1993
581699,1979,1993-01-11,CREDIT,CREDIT IN CASH,900.0,900.0,UNKNOWN,UNKNOWN,-999.0,26,MONTHLY STATEMENTS,1993-01-11,2404,Plzen - Mesto,West Bohemia,170449.0,10787.0,4.8853923824070264,6261.0,1993
252645,866,1993-01-11,CREDIT,CREDIT IN CASH,12644.0,13144.0,UNKNOWN,UNKNOWN,-999.0,9,MONTHLY STATEMENTS,1993-01-10,1044,Nymburk,Central Bohemia,81344.0,8899.0,3.97,2487.0,1993
101386,346,1993-01-11,CREDIT,CREDIT IN CASH,800.0,800.0,UNKNOWN,UNKNOWN,-999.0,37,MONTHLY STATEMENTS,1993-01-11,423,Litomerice,North Bohemia,114006.0,9065.0,5.39,4166.0,1993
689828,2357,1993-01-12,CREDIT,COLLECTION FROM ANOTHER BANK,6434.0,7234.0,PENSION,OP,34144538.0,19,MONTHLY STATEMENTS,1993-01-04,2849,Prachatice,South Bohemia,51428.0,8402.0,3.98,1099.0,1993
725752,2484,1993-01-12,CREDIT,CREDIT IN CASH,14779.0,15879.0,UNKNOWN,UNKNOWN,-999.0,74,MONTHLY STATEMENTS,1993-01-03,2999,Ostrava - Mesto,North Moravia,323870.0,10673.0,5.44,18347.0,1993
565655,1926,1993-01-12,CREDIT,CREDIT IN CASH,4507.0,5207.0,UNKNOWN,UNKNOWN,-999.0,37,MONTHLY STATEMENTS,1993-01-06,2338,Litomerice,North Bohemia,114006.0,9065.0,5.39,4166.0,1993
857974,2925,1993-01-12,CREDIT,CREDIT IN CASH,6446.0,7446.0,UNKNOWN,UNKNOWN,-999.0,1,MONTHLY STATEMENTS,1993-01-10,3533,Hl.M. Praha,Prague,1204953.0,12541.0,0.43,99107.0,1993
560898,1909,1993-01-12,CREDIT,CREDIT IN CASH,800.0,800.0,UNKNOWN,UNKNOWN,-999.0,14,MONTHLY STATEMENTS,1993-01-12,2319,Ceske Budejovice,South Bohemia,177686.0,10045.0,1.71,6295.0,1993
207265,704,1993-01-12,CREDIT,CREDIT IN CASH,17477.0,18477.0,UNKNOWN,UNKNOWN,-999.0,55,MONTHLY STATEMENTS,1993-01-01,844,Brno - Venkov,South Moravia,157042.0,9072.274638280678,2.43,3894.0,1993
477639,1628,1993-01-12,CREDIT,COLLECTION FROM ANOTHER BANK,4276.0,4976.0,PENSION,UV,15916598.0,60,MONTHLY STATEMENTS,1993-01-10,1973,Prostejov,South Moravia,110643.0,8441.0,4.48,2252.0,1993
615542,2099,1993-01-12,CREDIT,CREDIT IN CASH,1100.0,1100.0,UNKNOWN,UNKNOWN,-999.0,3,WEEKLY STATEMENTS,1993-01-12,2542,Beroun,Central Bohemia,75232.0,8980.0,2.21,2813.0,1993
439036,1493,1993-01-13,CREDIT,COLLECTION FROM ANOTHER BANK,5009.0,5209.0,PENSION,AB,54522466.0,41,MONTHLY STATEMENTS,1993-01-09,1810,Usti Nad Labem,North Bohemia,118650.0,9832.0,4.48,3782.711105731648,1993
1100759,3760,1993-01-13,CREDIT,CREDIT IN CASH,1000.0,1000.0,UNKNOWN,UNKNOWN,-999.0,44,MONTHLY STATEMENTS,1993-01-13,4536,Chrudim,East Bohemia,105606.0,8254.0,3.76,2325.0,1993
480215,1637,1993-01-13,CREDIT,COLLECTION FROM ANOTHER BANK,5718.0,6218.0,PENSION,UV,45134812.0,1,MONTHLY STATEMENTS,1993-01-08,1984,Hl.M. Praha,Prague,1204953.0,12541.0,0.43,99107.0,1993
1548749,5270,1993-01-13,CREDIT,CREDIT IN CASH,800.0,800.0,UNKNOWN,UNKNOWN,-999.0,44,MONTHLY STATEMENTS,1993-01-13,6367,Chrudim,East Bohemia,105606.0,8254.0,3.76,2325.0,1993
505241,1726,1993-01-13,CREDIT,CREDIT IN CASH,13967.0,14967.0,UNKNOWN,UNKNOWN,-999.0,48,MONTHLY STATEMENTS,1993-01-03,2093,Rychnov Nad Kneznou,East Bohemia,78955.0,9060.0,2.44,1717.0,1993
846007,2881,1993-01-13,CREDIT,CREDIT IN CASH,6959.0,7659.0,UNKNOWN,UNKNOWN,-999.0,70,MONTHLY STATEMENTS,1993-01-04,3483,Karvina,North Moravia,285387.0,10177.0,7.75,10108.0,1993
1021121,3487,1993-01-13,CREDIT,CREDIT IN CASH,15914.0,16714.0,UNKNOWN,UNKNOWN,-999.0,41,MONTHLY STATEMENTS,1993-01-08,4215,Usti Nad Labem,North Bohemia,118650.0,9832.0,4.48,3782.711105731648,1993
2908689,9635,1993-01-14,CREDIT,COLLECTION FROM ANOTHER BANK,4470.0,4870.0,PENSION,CD,37906074.0,70,MONTHLY STATEMENTS,1993-01-05,11860,Karvina,North Moravia,285387.0,10177.0,7.75,10108.0,1993
858384,2926,1993-01-14,CREDIT,CREDIT IN CASH,600.0,600.0,UNKNOWN,UNKNOWN,-999.0,50,MONTHLY STATEMENTS,1993-01-14,3534,Svitavy,East Bohemia,102609.0,8187.0,5.45,2134.0,1993
498389,1699,1993-01-14,CREDIT,CREDIT IN CASH,800.0,800.0,UNKNOWN,UNKNOWN,-999.0,53,MONTHLY STATEMENTS,1993-01-14,2064,Blansko,South Moravia,107911.0,8240.0,3.56,1903.0,1993
699221,2393,1993-01-14,CREDIT,CREDIT IN CASH,10737.0,11637.0,UNKNOWN,UNKNOWN,-999.0,10,MONTHLY STATEMENTS,1993-01-07,2889,Praha - Vychod,Central Bohemia,92084.0,10124.0,0.54,1630.6429573233727,1993
1142758,3909,1993-01-14,CREDIT,CREDIT IN CASH,700.0,700.0,UNKNOWN,UNKNOWN,-999.0,1,MONTHLY STATEMENTS,1993-01-14,4715,Hl.M. Praha,Prague,1204953.0,12541.0,0.43,99107.0,1993
1548750,5270,1993-01-14,CREDIT,COLLECTION FROM ANOTHER BANK,44749.0,45549.0,UNKNOWN,IJ,80269753.0,44,MONTHLY STATEMENTS,1993-01-13,6367,Chrudim,East Bohemia,105606.0,8254.0,3.76,2325.0,1993
506836,1731,1993-01-14,CREDIT,CREDIT IN CASH,200.0,200.0,UNKNOWN,UNKNOWN,-999.0,33,MONTHLY STATEMENTS,1993-01-14,2100,Decin,North Bohemia,133777.0,8705.0,7.61,4859.0,1993
3393738,11265,1993-01-14,CREDIT,CREDIT IN CASH,1000.0,1000.0,UNKNOWN,UNKNOWN,-999.0,15,MONTHLY STATEMENTS,1993-01-14,13845,Cesky Krumlov,South Bohemia,58796.0,8699.954298434515,3.6,1879.0,1993
621775,2122,1993-01-15,CREDIT,CREDIT IN CASH,46552.0,46852.0,UNKNOWN,UNKNOWN,-999.0,68,MONTHLY STATEMENTS,1993-01-08,2566,Frydek - Mistek,North Moravia,228848.0,9893.0,4.72,12703.935555370572,1993
737258,2519,1993-01-15,CREDIT,CREDIT IN CASH,500.0,500.0,UNKNOWN,UNKNOWN,-999.0,4,MONTHLY STATEMENTS,1993-01-15,3041,Kladno,Central Bohemia,149893.0,9753.0,5.05,6312.463514483,1993
144549,485,1993-01-16,CREDIT,CREDIT IN CASH,13156.0,13456.0,UNKNOWN,UNKNOWN,-999.0,6,STATEMENTS AFTER TRANSACTION,1993-01-04,583,Kutna Hora,Central Bohemia,77963.0,8546.0,4.02,3120.0,1993
435762,1481,1993-01-17,CREDIT,CREDIT IN CASH,1000.0,1000.0,UNKNOWN,UNKNOWN,-999.0,15,MONTHLY STATEMENTS,1993-01-17,1794,Cesky Krumlov,South Bohemia,58796.0,8699.954298434515,3.6,1879.0,1993
1027726,3510,1993-01-17,CREDIT,CREDIT IN CASH,23323.0,23823.0,UNKNOWN,UNKNOWN,-999.0,41,MONTHLY STATEMENTS,1993-01-07,4238,Usti Nad Labem,North Bohemia,118650.0,9832.0,4.48,3782.711105731648,1993
3122924,10364,1993-01-17,CREDIT,CREDIT IN CASH,1100.0,1100.0,UNKNOWN,UNKNOWN,-999.0,55,MONTHLY STATEMENTS,1993-01-17,12754,Brno - Venkov,South Moravia,157042.0,9072.274638280678,2.43,3894.0,1993
1176385,4034,1993-01-18,CREDIT,CREDIT IN CASH,200.0,200.0,UNKNOWN,UNKNOWN,-999.0,1,MONTHLY STATEMENTS,1993-01-18,4862,Hl.M. Praha,Prague,1204953.0,12541.0,0.43,99107.0,1993
119435,401,1993-01-18,CREDIT,CREDIT IN CASH,300.0,300.0,UNKNOWN,UNKNOWN,-999.0,32,MONTHLY STATEMENTS,1993-01-18,485,Ceska Lipa,North Bohemia,105058.0,9272.0,3.22,4505.0,1993
1100767,3760,1993-01-18,CREDIT,CREDIT IN CASH,10792.0,11792.0,UNKNOWN,UNKNOWN,-999.0,44,MONTHLY STATEMENTS,1993-01-13,4536,Chrudim,East Bohemia,105606.0,8254.0,3.76,2325.0,1993
682546,2330,1993-01-19,CREDIT,CREDIT IN CASH,200.0,200.0,UNKNOWN,UNKNOWN,-999.0,54,MONTHLY STATEMENTS,1993-01-19,2818,Brno - Mesto,South Moravia,387570.0,9945.41831147667,1.96,18696.0,1993
529772,1806,1993-01-19,CREDIT,CREDIT IN CASH,400.0,400.0,UNKNOWN,UNKNOWN,-999.0,40,MONTHLY STATEMENTS,1993-01-19,2187,Teplice,North Bohemia,128118.0,9317.0,7.07,4551.550986560515,1993
1121963,3834,1993-01-19,CREDIT,CREDIT IN CASH,700.0,700.0,UNKNOWN,UNKNOWN,-999.0,54,MONTHLY STATEMENTS,1993-01-19,4620,Brno - Mesto,South Moravia,387570.0,9945.41831147667,1.96,18696.0,1993
359511,1222,1993-01-20,CREDIT,CREDIT IN CASH,700.0,700.0,UNKNOWN,UNKNOWN,-999.0,66,MONTHLY STATEMENTS,1993-01-20,1475,Zdar Nad Sazavou,South Moravia,125832.0,8512.0,4.12,2103.0,1993
63712,212,1993-01-20,CREDIT,CREDIT IN CASH,200.0,200.0,UNKNOWN,UNKNOWN,-999.0,27,WEEKLY STATEMENTS,1993-01-20,255,Plzen - Jih,West Bohemia,67298.0,8561.0,1.29,1127.0,1993
298978,1019,1993-01-21,CREDIT,CREDIT IN CASH,1100.0,1100.0,UNKNOWN,UNKNOWN,-999.0,52,MONTHLY STATEMENTS,1993-01-21,1223,Usti Nad Orlici,East Bohemia,139012.0,8363.0,3.49,5437.817935938977,1993
136957,459,1993-01-21,CREDIT,CREDIT IN CASH,1000.0,1000.0,UNKNOWN,UNKNOWN,-999.0,47,MONTHLY STATEMENTS,1993-01-21,551,Pardubice,East Bohemia,162580.0,9538.0,4.315641630192431,5410.0,1993
135814,456,1993-01-21,CREDIT,CREDIT IN CASH,700.0,700.0,UNKNOWN,UNKNOWN,-999.0,49,MONTHLY STATEMENTS,1993-01-21,548,Semily,East Bohemia,75685.0,8208.0,2.26,888.0,1993
226654,772,1993-01-21,CREDIT,CREDIT IN CASH,500.0,500.0,UNKNOWN,UNKNOWN,-999.0,45,MONTHLY STATEMENTS,1993-01-21,924,Jicin,East Bohemia,77917.0,8390.0,3.543063639963991,2122.0,1993
3402664,11295,1993-01-21,CREDIT,CREDIT IN CASH,1100.0,1100.0,UNKNOWN,UNKNOWN,-999.0,74,MONTHLY STATEMENTS,1993-01-21,13886,Ostrava - Mesto,North Moravia,323870.0,10673.0,5.44,18347.0,1993
695250,2378,1993-01-22,CREDIT,CREDIT IN CASH,7268.0,7968.0,UNKNOWN,UNKNOWN,-999.0,16,MONTHLY STATEMENTS,1993-01-01,2873,Jindrichuv Hradec,South Bohemia,93931.0,8427.0,1.54,1913.0,1993
451890,1536,1993-01-22,CREDIT,CREDIT IN CASH,300.0,300.0,UNKNOWN,UNKNOWN,-999.0,41,WEEKLY STATEMENTS,1993-01-22,1862,Usti Nad Labem,North Bohemia,118650.0,9832.0,4.48,3782.711105731648,1993
785190,2676,1993-01-22,CREDIT,CREDIT IN CASH,200.0,200.0,UNKNOWN,UNKNOWN,-999.0,73,MONTHLY STATEMENTS,1993-01-22,3231,Opava,North Moravia,182027.0,8746.0,3.74,4433.0,1993
615548,2099,1993-01-22,CREDIT,CREDIT IN CASH,16125.0,17225.0,UNKNOWN,UNKNOWN,-999.0,3,WEEKLY STATEMENTS,1993-01-12,2542,Beroun,Central Bohemia,75232.0,8980.0,2.21,2813.0,1993
871631,2970,1993-01-22,CREDIT,CREDIT IN CASH,400.0,400.0,UNKNOWN,UNKNOWN,-999.0,60,MONTHLY STATEMENTS,1993-01-22,3586,Prostejov,South Moravia,110643.0,8441.0,4.48,2252.0,1993
695266,2378,1993-01-23,CREDIT,CREDIT IN CASH,14440.0,22408.0,UNKNOWN,UNKNOWN,-999.0,16,MONTHLY STATEMENTS,1993-01-01,2873,Jindrichuv Hradec,South Bohemia,93931.0,8427.0,1.54,1913.0,1993
347543,1179,1993-01-23,CREDIT,CREDIT IN CASH,700.0,700.0,UNKNOWN,UNKNOWN,-999.0,74,MONTHLY STATEMENTS,1993-01-23,1419,Ostrava - Mesto,North Moravia,323870.0,10673.0,5.44,18347.0,1993
708081,2425,1993-01-23,CREDIT,CREDIT IN CASH,900.0,900.0,UNKNOWN,UNKNOWN,-999.0,41,MONTHLY STATEMENTS,1993-01-23,2930,Usti Nad Labem,North Bohemia,118650.0,9832.0,4.48,3782.711105731648,1993
83658,280,1993-01-23,CREDIT,CREDIT IN CASH,300.0,300.0,UNKNOWN,UNKNOWN,-999.0,25,MONTHLY STATEMENTS,1993-01-23,338,Klatovy,West Bohemia,88757.0,8554.0,2.68,2218.0,1993
695262,2378,1993-01-24,CREDIT,CREDIT IN CASH,49752.0,72160.0,UNKNOWN,UNKNOWN,-999.0,16,MONTHLY STATEMENTS,1993-01-01,2873,Jindrichuv Hradec,South Bohemia,93931.0,8427.0,1.54,1913.0,1993
1183176,4055,1993-01-24,CREDIT,CREDIT IN CASH,200.0,200.0,UNKNOWN,UNKNOWN,-999.0,23,MONTHLY STATEMENTS,1993-01-24,4886,Cheb,West Bohemia,87419.0,8624.0,2.66,3198.0,1993
615547,2099,1993-01-24,CREDIT,CREDIT IN CASH,36518.0,53743.0,UNKNOWN,UNKNOWN,-999.0,3,WEEKLY STATEMENTS,1993-01-12,2542,Beroun,Central Bohemia,75232.0,8980.0,2.21,2813.0,1993
1084396,3704,1993-01-24,CREDIT,CREDIT IN CASH,500.0,500.0,UNKNOWN,UNKNOWN,-999.0,75,MONTHLY STATEMENTS,1993-01-24,4466,Prerov,North Moravia,138032.0,8819.0,5.66,4505.0,1993
2809952,9307,1993-01-24,CREDIT,CREDIT IN CASH,900.0,900.0,UNKNOWN,UNKNOWN,-999.0,68,MONTHLY STATEMENTS,1993-01-24,11461,Frydek - Mistek,North Moravia,228848.0,9893.0,4.72,12703.935555370572,1993
1486053,5065,1993-01-24,CREDIT,CREDIT IN CASH,300.0,300.0,UNKNOWN,UNKNOWN,-999.0,66,MONTHLY STATEMENTS,1993-01-24,6114,Zdar Nad Sazavou,South Moravia,125832.0,8512.0,4.12,2103.0,1993
1736607,5891,1993-01-25,CREDIT,CREDIT IN CASH,900.0,900.0,UNKNOWN,UNKNOWN,-999.0,54,MONTHLY STATEMENTS,1993-01-25,7127,Brno - Mesto,South Moravia,387570.0,9945.41831147667,1.96,18696.0,1993
